  Loaded 0 agent policies (gen 10, best=0)
  Loaded 0 anomaly policies (gen 10, best=0.0 dmg)
Resumed from gen 10, best=0
Training 60 generations (1200 ticks each, 8 agents)...
  Gen |  BestFit |   AvgFit |   AnoDmg | Shelters
──────────────────────────────────────────────────
   11 |     1966 |      845 |    278.0 |       30
   12 |     2115 |      616 |    278.0 |       20
   13 |     2115 |      573 |    278.0 |       15
   14 |     2115 |      616 |    530.0 |       25
   15 |     2115 |      842 |    530.0 |       34
   16 |     2115 |      572 |    530.0 |       18
   17 |     2115 |      466 |    530.0 |       11
   18 |     2120 |      446 |    530.0 |        8
   19 |     3059 |     1070 |    530.0 |       53
   20 |     3059 |      650 |    530.0 |       21
   21 |     3059 |      593 |    530.0 |       14
   22 |     3059 |      926 |    530.0 |       37
   23 |     3059 |      499 |    530.0 |        9
   24 |     3059 |      822 |    530.0 |       30
   25 |     3059 |      496 |    530.0 |       14
   26 |     3059 |      759 |    530.0 |       35
   27 |     3059 |      509 |    530.0 |       13
   28 |     3059 |      791 |    530.0 |       29
   29 |     3206 |     1277 |    571.0 |       56
   30 |     3206 |      402 |    610.0 |        3
   31 |     3206 |     1047 |    610.0 |       52
   32 |     3206 |      623 |    610.0 |       19
   33 |     3206 |      656 |    610.0 |       24
   34 |     3206 |      753 |    610.0 |       39
   35 |     3206 |      547 |    610.0 |       24
   36 |     3206 |      410 |    910.0 |        4
   37 |     3206 |      914 |    910.0 |       37
   38 |     3691 |     1106 |    910.0 |       49
   39 |     3691 |      462 |    910.0 |        9
   40 |     3691 |     1161 |    910.0 |       67
   41 |     3691 |      901 |    910.0 |       37
   42 |     3691 |     1101 |    910.0 |       63
   43 |     3691 |      858 |    910.0 |       42
   44 |     3691 |      640 |    910.0 |       20
   45 |     3691 |     1163 |    910.0 |       68
   46 |     3691 |     1216 |    910.0 |       56
   47 |     3691 |      873 |    910.0 |       33
   48 |     3691 |      592 |    910.0 |       10
   49 |     3691 |      682 |    910.0 |       26
   50 |     3691 |      719 |    910.0 |       29
   51 |     3691 |     1203 |    910.0 |       64
   52 |     3691 |      836 |    910.0 |       44
   53 |     3691 |      803 |    910.0 |       32
   54 |     3691 |      802 |    910.0 |       32
   55 |     3691 |      903 |    910.0 |       41
   56 |     3691 |      460 |    910.0 |       14
   57 |     3691 |      676 |    910.0 |       23
   58 |     3691 |      597 |    910.0 |       18
   59 |     3691 |      315 |    910.0 |        0
   60 |     3691 |      627 |    910.0 |       16
   61 |     3691 |      998 |    910.0 |       45
   62 |     3691 |     1095 |    910.0 |       43
   63 |     3691 |      832 |    910.0 |       35
   64 |     3691 |      937 |    910.0 |       37
   65 |     3691 |      354 |    910.0 |        0
   66 |     3691 |      658 |    910.0 |       27
   67 |     3691 |      720 |    910.0 |       32
   68 |     3691 |      944 |    910.0 |       46
   69 |     3691 |     1283 |    910.0 |       54
   70 |     3691 |      344 |    910.0 |        0
Traceback (most recent call last):
  File "/Users/fursati_insaan/OrgSim/plot_training.py", line 83, in <module>
    import matplotlib
ModuleNotFoundError: No module named 'matplotlib'
